ABT,1,Alberta Downs,US/Mountain
AC,0,Agua Caliente,US/Pacific
AIK,0,Aiken,US/Pacific
AKS,2,Ak-Sar-Ben,US/Central
AP,2,Arlington,US/Central
ARC,0,Arc de Triomphe,US/Pacific
ATH,0,Atlanta,US/Pacific
AVN,0,Avon,US/Pacific
AZD,1,Arizona Downs,US/Mountain
AJX,0,Ajax Downs,US/Pacific
ALB,1,Albuquerque,US/Mountain
ANF,0,Anthony Fair Association,US/Pacific
AQU,3,Aqueduct,US/Eastern
ARP,0,Arapahoe Park,US/Pacific
ASD,0,Assiniboia Downs,US/Pacific
ATL,3,Atlantic City,US/Eastern
ATO,0,Atokad,US/Pacific
BB,0,Best Bets (Multiple Tracks),US/Pacific
BCC,3,Breeders' Cup Double,US/Eastern
BCD,3,Breeders' Cup Double,US/Eastern
BCF,0,Brown County Fair,US/Pacific
BCT,3,Breeders' Cup Double,US/Eastern
BCW,2,Breeders' Cup Futures,US/Central
BF,3,Brockton Fair,US/Eastern
BFF,0,Breeders Cup Future Wager,US/Pacific
BFS,0,Breeders Cup Future Wager,US/Pacific
BGD,2,Players BlueGrass Downs,US/Central
BHP,0,Betfair Hollywood Park,US/Pacific
BM,0,Bay Meadows,US/Pacific
BML,0,Balmoral,US/Pacific
BND,0,Bandera Downs,US/Pacific
BRD,2,Blue Ribbon Downs,US/Central
BRO,0,Brookhill Farm,US/Pacific
BSR,0,Barretts Race Meet at Fairplex,US/Pacific
BTP,3,Belterra Park,US/Eastern
BEL,3,Belmont Park,US/Eastern
BEU,3,Beulah Park,US/Eastern
BIR,0,Birmingham Turf Club,US/Pacific
BKF,1,Blackfoot,US/Mountain
BMF,0,Bay Meadows Fair,US/Pacific
BOI,0,Les Bois Park,US/Pacific
CAM,0,Camden,US/Pacific
CCP,3,Cross Country Pick Four,US/Eastern
CD,3,Churchill Downs,US/Eastern
CEG,0,Calgary (Alberta),US/Pacific
CHA,0,Charlston,US/Pacific
CHL,0,Charlotte,US/Pacific
CLM,0,Clemmons,US/Pacific
CMR,3,Camarero Race Track,US/Eastern
CT,3,Charles Town,US/Eastern
CTD,1,Century Downs,US/Mountain
CTM,1,Century Mile,US/Mountain
CWF,0,Central Wyoming Fair,US/Pacific
CAS,1,Burley,US/Mountain
CBY,2,Canterbury Park,US/Central
CLS,2,Columbus,US/Central
CNL,3,Colonial Downs,US/Eastern
CPW,2,Chippewa Downs,US/Central
CRC,3,Calder Race Course,US/Eastern
DBA,0,NY NY Double,US/Pacific
DBB,0,Can-Am Pick-4,US/Pacific
DBC,0,Woodbine Crossover Pick 4,US/Pacific
DBD,0,Century Crossover,US/Pacific
DBE,0,,US/Pacific
DEP,0,Desert Park,US/Pacific
DET,3,Detroit,US/Eastern
DMF,0,Del Mar Fair,US/Pacific
DUB,0,Dubai Racing Carnival,US/Pacific
DUE,3,Duelling Grounds,US/Eastern
DAY,0,Dayton,US/Pacific
DED,2,Delta Downs,US/Central
DEL,3,Delaware Park,US/Eastern
DG,1,Douglas,US/Mountain
DMR,0,Del Mar,US/Pacific
DUN,1,Duncan,US/Mountain
DXD,1,Dixie Downs,US/Mountain
ED,1,Energy Downs,US/Mountain
ELC,3,El Commandante,US/Eastern
ELY,1,Ely,US/Mountain
EP,0,Exhibition Park,US/Pacific
EQA,3,Stronach 5,US/Eastern
EQB,3,Super Tuesday Pick Four,US/Eastern
EQC,3,Equibase Special C,US/Eastern
EQD,3,Equibase Special D,US/Eastern
EQE,3,Equibase Special E,US/Eastern
EQF,3,Equibase Special F,US/Eastern
EXX,0,Exotic Key Plays,US/Pacific
ELP,2,Ellis Park,US/Central
ELK,2,Elko,US/Central
EMD,0,Emerald Downs,US/Pacific
EMT,0,Emmett,US/Pacific
EUR,0,Eureka Downs,US/Pacific
EVD,2,Evangeline Downs,US/Central
FAI,3,Fair Hill,US/Eastern
FAX,0,Fairfax,US/Pacific
FE,3,Fort Erie,US/Eastern
FG,2,Fair Grounds,US/Central
FH,0,Far Hills,US/Pacific
FL,3,Finger Lakes,US/Eastern
FMT,2,Fair Meadows Tulsa,US/Central
FOX,0,Foxboro Park,US/Pacific
FP,2,Fairmount Park,US/Central
FX,0,Foxfield,US/Pacific
FAR,0,North Dakota Horse Park,US/Pacific
FER,0,Ferndale,US/Pacific
FLG,1,Flagstaff,US/Mountain
FNO,0,Fresno,US/Pacific
FON,2,Fonner Park,US/Central
FPX,0,Fairplex Park,US/Pacific
FTP,0,Fort Pierre,US/Pacific
GBF,0,Great Barrington (Fair),US/Pacific
GCF,0,Globe,US/Pacific
GF,0,Great Falls,US/Pacific
GG,0,Golden Gate Fields,US/Pacific
GLD,3,Great Lakes Downs,US/Eastern
GLN,0,Glyndon,US/Pacific
GN,0,Grand National,US/Pacific
GP,3,Gulfstream Park,US/Eastern
GPW,3,Gulfstream Park West,US/Eastern
GPR,0,Grand Prairie,US/Pacific
GRD,0,Greenwood,US/Pacific
GRM,0,Great Meadows,US/Pacific
GS,3,Garden State,US/Eastern
GTW,0,Gateway Downs,US/Pacific
GV,0,Genesee Valley,US/Pacific
GIL,0,Gillespie,US/Pacific
GRP,0,Grants Pass,US/Pacific
HAP,0,Harbor Park,US/Pacific
